序号,商品店铺ID,商品ID,商品SPU
5496,6575269478589,11710,EC1528
5548,6537806741693,10816,EC1457
5553,6535904559293,10753,EC1481
5566,6235033141437,10604,EC1453
5567,6235016888509,10603,EC1456
5685,6110607016125,1362,EC1336
5747,6095972892861,1299,EC1292
5775,6074270056637,679,EC1249
5776,6074100547773,680,EC0653
5779,6073103614141,683,EC1242
5808,6058991878333,711,EC1223
5843,4946780192804,745,EC1179
5868,4937397043236,768,EC1155
5930,4913255252004,828,EC1101
5933,4913208098852,831,EC1098
5943,4910724218916,841,EC1089
5947,4910694367268,845,EC1085
5950,4910542815268,848,EC1067
5959,4910314291236,857,EC1049
5978,4904213970980,876,EC1028
5979,4904213708836,877,EC1027
6005,4886094807076,903,EC1013
6068,4854086991908,966,EC0955
6089,4847778201636,991,EC0935
6114,4833269743652,1016,EC0908
6132,4825010274340,1034,EC0869
6140,4821891416100,1042,EC0879
6155,4796972728356,1057,EC0860
6188,4759387602980,1089,EC0841
6224,4734949523492,1125,EC0795
6233,4719758245924,1134,EC0771
6350,4665315459108,1247,EC0659
6357,4663597236260,1254,EC0676
6413,4627989692452,640,EC0600
6443,4604815573028,608,EC0566
6452,4600698699812,599,EC0558
6476,4590671429668,575,EC0529
6485,4581712035876,1389,EC0520
6487,4581659312164,564,EC0518
6537,4565403828260,517,EC0468
6569,4560334848036,28,EC138438
6570,4560333602852,29,EC138439
6573,4560332521508,32,EC138451
6587,4560326066212,48,EC0006
6595,4560322527268,56,EC0014
6599,4560321708068,60,EC0018
6673,4560297787428,139,EC0096
6696,4560290709540,165,EC0119
6704,4560288317476,173,EC0124
6724,4560280649764,193,EC0145
6741,4560273440804,212,EC0165
6750,4560269901860,221,EC0175
6790,4560257253412,1404,EC136897
6811,4560248864804,284,EC0239
6817,4560246210596,290,EC0251
6828,4560241328164,301,EC0254
6838,4560238379044,311,EC0266
6847,4560234938404,1405,EC0279
6873,4560224714788,352,EC0314
6932,4560199974948,413,EC0385
6944,4560195354660,425,EC0380
6957,4560190373924,438,EC0395
6962,4560188014628,443,EC0400
6986,4560175988772,467,EC0423
